place;state;center
Freiburg im Breisgau;Baden-Württemberg;Oberzentren
Heidelberg;Baden-Württemberg;Oberzentren
Heilbronn;Baden-Württemberg;Oberzentren
Karlsruhe;Baden-Württemberg;Oberzentren
Konstanz;Baden-Württemberg;Oberzentren
Offenburg;Baden-Württemberg;Oberzentren
Pforzheim;Baden-Württemberg;Oberzentren
Stuttgart;Baden-Württemberg;Oberzentren
Villingen-Schwenningen;Baden-Württemberg;Oberzentren
Baden-Baden;Baden-Württemberg;Mittelzentren mit oberzentralen Teilfunktionen
Aalen;Baden-Württemberg;Mittelzentren
Achern;Baden-Württemberg;Mittelzentren
Albstadt;Baden-Württemberg;Mittelzentren
Backnang;Baden-Württemberg;Mittelzentren
Bad Mergentheim;Baden-Württemberg;Mittelzentren
Bad Säckingen;Baden-Württemberg;Mittelzentren
Bad Saulgau;Baden-Württemberg;Mittelzentren
Bad Waldsee;Baden-Württemberg;Mittelzentren
Bad Wildbad;Baden-Württemberg;Mittelzentren
Balingen;Baden-Württemberg;Mittelzentren
Biberach an der Riß;Baden-Württemberg;Mittelzentren
Breisach am Rhein;Baden-Württemberg;Mittelzentren
Bretten;Baden-Württemberg;Mittelzentren
Bruchsal;Baden-Württemberg;Mittelzentren
Buchen (Odenwald);Baden-Württemberg;Mittelzentren
Bühl (Baden);Baden-Württemberg;Mittelzentren
Calw;Baden-Württemberg;Mittelzentren
Crailsheim;Baden-Württemberg;Mittelzentren
Donaueschingen;Baden-Württemberg;Mittelzentren
Eberbach;Baden-Württemberg;Mittelzentren
Ehingen (Donau);Baden-Württemberg;Mittelzentren
Ellwangen (Jagst);Baden-Württemberg;Mittelzentren
Emmendingen;Baden-Württemberg;Mittelzentren
Esslingen am Neckar;Baden-Württemberg;Mittelzentren
Ettlingen;Baden-Württemberg;Mittelzentren
Freudenstadt;Baden-Württemberg;Mittelzentren
Geislingen an der Steige;Baden-Württemberg;Mittelzentren
Göppingen;Baden-Württemberg;Mittelzentren
Hechingen;Baden-Württemberg;Mittelzentren
Heidenheim an der Brenz;Baden-Württemberg;Mittelzentren
Herrenberg;Baden-Württemberg;Mittelzentren
Horb am Neckar;Baden-Württemberg;Mittelzentren
Kehl;Baden-Württemberg;Mittelzentren
