page_id,page,incoming_from_cities
113337,Delitzsch,591
94950,Rheda-Wiedenbrück,115
137110,Haan,273
2804137,Kyritz,186
37703,Böblingen,340
17804,Worms,1458
41624,Heppenheim (Bergstraße),365
122745,Altenkirchen (Westerwald),922
91996,Gmund am Tegernsee,61
141803,Bad Saulgau,96
208974,Titisee-Neustadt,89
70667,Menden (Sauerland),359
3201800,Sangerhausen,237
4504194,Schifferstadt,36
108582,Bad Vilbel,96
78101,Bad Mergentheim,107
45898,Geislingen an der Steige,60
19138,Friedrichsdorf,81
2726177,Bitterfeld-Wolfen,167
42726,Bad Kissingen,912
133688,Ibbenbüren,311
448471,Haslach im Kinzigtal,47
494523,Weißenfels,345
3028814,Herten,161
17980,Diepholz,321
93799,Montabaur,696
61807,Guben,114
95647,Hückelhoven,243
104150,Herzogenrath,140
391535,Eschweiler,824
36243,Bad Kreuznach,444
149540,Waldbröl,190
668167,Neustadt bei Coburg,291
495634,Neustadt an der Donau,109
61242,Willich,424
161418,Eilenburg,543
235270,Ellefeld,3
4094063,Bramsche,180
4332,Ribnitz-Damgarten,131
66725,Eichstätt,1406
16239,Marl,199
1243,Eisenhüttenstadt,159
3381169,Haiger,303
1991746,Gößnitz (Thüringen),159
11617,Pinneberg,511
51478,Vechta,321
2256637,Emsdetten,52
4432709,Viechtach,53
2864050,Apolda,388
4661095,Neuss,1267
113920,Biberach an der Riß,168
86176,Steinfurt,171
62967,Dillingen/Saar,171
4549,Sindelfingen,109
98459,Alzey,450
5328,Unna,834
18421,Brake (Unterweser),82
120180,Lindau (Bodensee),489
1540169,Hessisch Lichtenau,163
127891,Tirschenreuth,120
4094187,Teltow,221
93822,Bad Waldsee,41
16861,Hann. Münden,308
116291,Bendorf,71
235430,Hünfeld,188
177973,Aue (Sachsen),342
517697,Lauscha,57
95131,Andernach,200
131927,Pulheim,229
96578,Markkleeberg,187
53044,Langen (Hessen),204
3220348,Kirchen (Sieg),69
33169,Garmisch-Partenkirchen,203
27377,Müllheim (Baden),116
272222,Dierdorf,126
169541,Ludwigsfelde,213
16811,Rotenburg an der Fulda,121
39750,Pfarrkirchen,98
72986,Bad Harzburg,135
1336576,Königstein im Taunus,166
333661,Teublitz,25
60465,Brunsbüttel,57
9004,Limburg an der Lahn,1075
43955,Donaueschingen,190
107857,Kirchberg (Hunsrück),168
189002,Geretsried,38
499380,Hemmoor,28
47410,Wermelskirchen,191
19264,Demmin,274
61954,Maintal,135
188164,Coswig (Sachsen),255
354545,Erlenbach am Main,33
