page_id,page,incoming_from_cities
11034,Bamberg,1392
7798,Freiburg im Breisgau,1264
48503,Memmingen,620
1398704,Würzburg,1656
85088,Weingarten (Württemberg),216
10407,Schweinfurt,1044
857,Coburg,2436
17322,Bautzen,1879
17637,Hof (Saale),865
207849,Plattling,63
4809212,Münster (Westfalen),3683
538,Bielefeld,2454
85620,Weiden in der Oberpfalz,312
490101,Mainz,4394
60100,Braunschweig,3926
17938,Stralsund,457
13666,Cottbus,440
33549,Villingen-Schwenningen,197
18493,Neubrandenburg,379
17573,Oldenburg (Oldb),70
4018791,Osnabrück,1891
639,Bonn,3512
2129,Hamburg,11504
17847,Hanau,1874
2861266,Krefeld,947
2648,Köln,10779
24802,Landshut,914
3220301,Ulm,1616
16862,Kassel,2463
3215,München,7037
3062,Ludwigshafen am Rhein,456
2722831,Dessau-Roßlau,282
490078,Greifswald,949
8272,Heidelberg,1771
16976,Görlitz,1462
18359,Amberg,697
18618,Kaiserslautern,924
3246198,Salzgitter,1974
16565,Frankfurt am Main,3882
3773883,Trier,3514
31694,Deggendorf,246
2552494,Berlin,18031
11999,Ravensburg,609
3038674,Wilhelmshaven,660
81562,Gießen,1058
9281,Frankfurt (Oder),662
3475,Mönchengladbach,2458
9290,Brandenburg an der Havel,559
17924,Hannover,4267
733124,Plauen,1272
60170,Fürth,596
66522,Traunstein,251
2667,Konstanz,896
4363095,Erfurt,3009
3067,Lüneburg,1382
3229,Magdeburg,3520
46539,Chemnitz,1996
554,Bremen,4117
14065,Celle,1020
8787,Augsburg,2983
2655245,Potsdam,1316
9432,Lübeck,1809
1124,Darmstadt,1999
3687114,Wuppertal,4085
16814,Fulda,2350
26822,Ingolstadt,725
35705,Kempten (Allgäu),512
14147,Halle (Saale),1556
24192,Marburg,1416
3698848,Hoyerswerda,341
72067,Lörrach,528
13935,Hildesheim,1978
17627,Siegen,1777
17342,Gera,2114
5716,Wiesbaden,1472
47327,Straubing,312
3951046,Mannheim,2362
12049,Regensburg,2071
75958,Weil am Rhein,147
8273,Pforzheim,432
8144,Zwickau,786
1887,Göttingen,1496
3574,Nürnberg,6314
19340,Flensburg,2145
69276,Kaufbeuren,140
4849,Schwerin,1471
13461,Koblenz,1324
14174,Rostock,1633
17929,Aschaffenburg,929
1084,Dresden,6933
5076,Tübingen,1104
1175,Düsseldorf,4165
2822460,Kiel,1700
32983,Neumarkt in der Oberpfalz,326
5270723,Essen,2641
1432544,Heilbronn,2016
18165,Reutlingen,540
2674336,Aachen,2478
4474649,Paderborn,2109
11849,Wetzlar,660
30548,Offenburg,270
1036,Dortmund,3546
39409,Hagen,948
15096,Bochum,1118
37559,Ansbach,1314
15097,Duisburg,2438
21766,Neu-Ulm,187
4492,Stuttgart,5554
4237950,Saarbrücken,1768
1600,Friedrichshafen,348
745834,Jena,1353
3138194,Erlangen,628
999397,Karlsruhe,2052
2996,Leipzig,6261
42050,Neumünster,346
5159742,Offenbach am Main,421
4093789,Rosenheim,585
14066,Wolfsburg,1105
711,Bayreuth,921
795955,Passau,1256
