page_id,page,min
4659943,Clausthal-Zellerfeld,0
49921,Moers,0
71874,Voerde (Niederrhein),0
101936,Baesweiler,0
4661095,Neuss,0
59600,Wesel,0
33478,Bottrop,0
9406,Beeskow,0
73638,Lauf an der Pegnitz,0
93320,Eitorf,0
69907,Meiningen,0
13819,Dülmen,0
151349,Bingen am Rhein,0
490101,Mainz,0.0271604313308162
3773883,Trier,12.4037229938099
50024,Viersen,17.8673585102815
3310052,Wadern,30.8343970378792
130027,Engelskirchen,30.8866572983485
48639,Löhne,36.2300032699319
42835,Lennestadt,36.4676194042879
142764,Rodgau,39.8287336099878
140527,Zeulenroda-Triebes,43.7417925654384
143616,Bühl (Baden),44.4327874673114
15646,Petershagen,55.8379742174459
96578,Markkleeberg,56.0714863517556
99539,Rödermark,64.1923759452617
82145,Hürth,66.1115043083884
2348185,Schwäbisch Hall,68.0664085025273
15094,Oberhausen,84.7269580827686
1030663,Stolberg (Rheinland),85.1522202808347
204165,Taunusstein,87.4497594515174
3840777,Emden,114.814337370085
897638,Euskirchen,121.471962448017
22109,Solingen,125.184403609946
1473612,Hamminkeln,128.435046705837
320639,Marktheidenfeld,133.964644865827
104154,Würselen,146.369420643956
18497,Ludwigslust,151.838189611945
230818,Baunatal,151.903364655067
1171331,Esslingen am Neckar,154.639593384624
54137,Ramstein-Miesenbach,157.246691442526
73058,Kehl,166.229762937694
18452,Stade,169.922304877046
27843,Bünde,177.377693352795
106657,Geilenkirchen,177.777537073882
129925,Hohenstein-Ernstthal,182.600243626347
161418,Eilenburg,198.034665621788
2785,Kelkheim (Taunus),199.334788921265
59902,Bergisch Gladbach,202.148429284403
86214,Troisdorf,216.173242891611
1880774,Langenfeld (Rheinland),223.141650111735
12328,Pirna,229.79099823738
95970,Annaberg-Buchholz,249.761649855584
29136,Sankt Augustin,250.169323810094
85103,Alzenau,256.667281220687
14161,Rothenburg ob der Tauber,258.001175638525
2726177,Bitterfeld-Wolfen,261.397126350156
179866,Übach-Palenberg,261.858328637294
24186,Siegburg,263.219735710485
31198,Leichlingen (Rheinland),269.419691117851
3753800,St. Ingbert,276.277904200512
3729892,Lüdenscheid,280.646043337903
3340,Meißen,318.238104902597
9004,Limburg an der Lahn,321.368046472005
18004,Freital,328.953314010906
21915,Osterode am Harz,329.563438679445
499380,Hemmoor,334.824135399973
79363,Schwandorf,338.184771422819
66746,Espelkamp,352.600053591924
2567816,Radevormwald,355.506815912356
15098,Gelsenkirchen,356.898836591017
18597,Schkeuditz,366.453022224932
364633,Porta Westfalica (Stadt),367.181072979989
4332,Ribnitz-Damgarten,369.169125797745
18429,Garbsen,378.641917900048
870071,Vilshofen an der Donau,379.796622191197
61954,Maintal,389.20766100925
76521,Wegberg,391.509243869467
87752,Grimma,392.9772445568
17103,Neustadt an der Weinstraße,403.69625681127
95497,Brakel,406.641354369558
123637,Lahnstein,417.139764212834
71256,Hemer,417.782834678557
20110,Herford,420.242062420745
3385428,Schwalbach am Taunus,421.63866475262
156895,Gunzenhausen,428.500873285598
47451,Bad Aibling,435.144575138784
63468,Freising,443.976361718796
142730,Weißenburg in Bayern,446.651813603383
21751,Schleswig,455.584840901246
17214,Castrop-Rauxel,467.986187676313
35752,Grafing bei München,472.949275223369
85804,Kerpen,473.45147111812
391535,Eschweiler,474.636016314565
13461,Koblenz,475.223351316616
36184,Bad Neuenahr-Ahrweiler,489.335865577938
110248,Dreieich,501.946880009787
16934,Merseburg,505.031032754048
4346285,Bedburg,507.879502868916
4809,Sankt Goarshausen,512.795314616323
154579,Sankt Goar,512.795314616695
39750,Pfarrkirchen,519.615421916467
17392,Delmenhorst,520.456514020196
51478,Vechta,527.976337183334
49846,Mülheim an der Ruhr,535.850609788012
382533,Krumbach (Schwaben),547.89520384873
85723,Alsdorf,552.119979666033
4549,Sindelfingen,556.372774677391
75659,Bad Honnef,558.757342569333
28314,Meerbusch,560.675922578802
54571,Bad Reichenhall,561.794384320305
70671,Füssen,563.446214871014
42726,Bad Kissingen,563.578099213017
177973,Aue (Sachsen),564.705117006583
4539203,Mittweida,568.300756373675
883481,Schönebeck (Elbe),569.774071979688
61807,Guben,573.249534275727
18579,Staßfurt,577.082690607318
39229,Remscheid,583.676626109355
37974,Lünen,583.698907771139
95964,Bad Soden-Salmünster,583.928573422087
28326,Leverkusen,594.470746571305
331685,Battenberg (Eder),605.509793581346
71605,Vellmar,613.038400555756
26470,Hennef (Sieg),617.819878480261
97758,Marktredwitz,624.255090988796
16944,Erkelenz,632.877736451592
106108,Wunsiedel,639.082885662531
1991746,Gößnitz (Thüringen),641.071220060735
163359,Schwalmstadt,647.258864655218
42191,Wipperfürth,648.638706419663
72927,Sonneberg,653.30561016374
85512,Bocholt,653.93618891277
49301,Vlotho,662.112295664988
19329,Berchtesgaden,670.291460911883
15893,Radebeul,677.108709260319
4284665,Brilon,679.411181038405
95547,Aichach,685.64007274036
21182,Bad Oeynhausen,687.27452405001
1169151,Lohr am Main,692.378773402829
2787,Kronberg im Taunus,692.558640902808
1322212,Lübbecke,706.981249018221
143985,Schwarzenberg/Erzgeb.,707.301565858261
206199,Limbach-Oberfrohna,713.627748815635
95647,Hückelhoven,723.459345168669
39251,Gütersloh,725.879436133582
16239,Marl,726.263165600404
36673,Witten,737.805702342555
271016,Vallendar,744.718811456107
354545,Erlenbach am Main,747.722224476283
67185,Osterholz-Scharmbeck,755.537893513291
37381,Cloppenburg,762.908506890898
21227,Eckernförde,767.084043003796
9447,Bremerhaven,769.24887641266
9402,Herzberg (Elster),775.775250069878
42844,Erftstadt,777.196291935508
143570,Rheinfelden (Baden),779.590960683468
4766,Speyer,780.385703257075
342945,Bad Neustadt an der Saale,780.849478953788
15654,Cuxhaven,781.637292255054
73224,Tönisvorst,786.108287323731
41659,Marsberg,793.996808546085
36243,Bad Kreuznach,801.287471645644
72032,Kreuztal,802.01751441205
1123650,Goslar,830.392277672032
96864,Löbau,836.150538971813
71267,Iserlohn,838.780041204604
2247655,Suhl,839.660507944013
272263,Hachenburg,845.259513083736
5219972,Leinefelde-Worbis,845.683514886985
1640,Freiberg,848.022704099075
15625,Recklinghausen,850.211366523096
91385,Wertheim,853.076205097202
42411,Velbert,855.781022204924
45647,Burghausen,865.503672306759
17389,Meppen,882.854062744941
11228,Calw,884.635295303048
70667,Menden (Sauerland),901.849879285131
174457,Diez,910.331079101551
3062,Ludwigshafen am Rhein,911.639852141592
193141,Dippoldiswalde,914.496523461549
42418,Ettlingen,915.87446085937
112532,Pößneck,923.336261752629
2741264,Dinkelsbühl,923.45737233657
15644,Minden,928.864598582384
494503,Goch,929.696960955727
33170,Zweibrücken,939.416974327076
139468,Bad Zwischenahn,958.228552460274
188164,Coswig (Sachsen),972.190571021063
98459,Alzey,973.764034180091
3437365,Abensberg,976.713609794751
289142,Schleiden,988.597706681227
1781163,Dinslaken,991.379420076584
11617,Pinneberg,992.616229614069
133395,Sulingen,994.764549274268
94950,Rheda-Wiedenbrück,995.100396113286
72043,Neunkirchen (Siegerland),995.341976750787
151860,Simmern/Hunsrück,996.611230792825
71218,Remagen,997.064016560332
2246972,Albstadt,1005.91295643642
73172,Düren,1009.50847743838
26819,Ilmenau,1020.64966463456
91996,Gmund am Tegernsee,1029.88885916574
763500,Oppenheim,1037.07532288744
18127,Künzelsau,1039.22467637578
122763,Kirchheimbolanden,1042.44950632149
116291,Bendorf,1043.81737936802
19138,Friedrichsdorf,1046.23452326401
69223,Michelstadt,1051.58953561003
260748,Hungen,1053.22323385809
189002,Geretsried,1056.1838468546
150292,Erbach (Odenwald),1057.00717712599
104151,Monschau,1061.15662849957
95571,Boppard,1064.53398164899
133335,Zwiesel,1065.7079389703
61752,Kitzingen,1067.27259798598
4231117,Laatzen,1067.49849088843
350139,Neuhaus am Rennweg,1069.10659750777
95448,Blomberg,1070.95278877064
2327838,Westerstede,1071.15870922966
2332,Hameln,1084.55604445228
4132200,Dorsten,1086.44072348526
86212,Greven,1087.47886902964
33751,Blieskastel,1093.04301683826
4187,Quedlinburg,1094.2034433912
53286,Riesa,1097.7173919301
95509,Beverungen,1099.02203278931
481394,Allendorf (Eder),1101.06171995084
1243,Eisenhüttenstadt,1102.54082915531
61808,Heinsberg,1113.32133627311
93789,Brühl (Rheinland),1115.16584938879
72013,Olpe,1115.53139069169
105135,Neutraubling,1117.66988592824
94273,Norden (Ostfriesland),1119.35745993666
348571,Bad Klosterlausnitz,1121.16238878371
21450,Detmold,1124.98325104376
219388,Grünstadt,1136.57723109457
32264,Bad Säckingen,1143.17903476542
149540,Waldbröl,1143.86047204124
8275,Wiesloch,1146.56782938381
3333933,Hildburghausen,1147.23836173682
82985,Bad Nauheim,1150.67224389015
169062,Weißwasser/Oberlausitz,1155.96889094527
14858,Herdecke,1165.51505117221
16926,Naumburg (Saale),1166.09789381218
3347283,Rudolstadt,1166.445678717
112745,Schopfheim,1170.8275214005
4468598,Rüdesheim am Rhein,1173.40942900966
564617,Gerolzhofen,1175.66479822112
142000,Niederkassel,1176.16708282851
218885,Lauter (Lauter-Bernsbach),1177.14834512144
