page_id,page,min
4363095,Erfurt,0
17847,Hanau,0
4809212,Münster (Westfalen),0
2648,Köln,0
4018791,Osnabrück,0
490101,Mainz,0.0271604313308162
745834,Jena,2.68750324855364
554,Bremen,7.74897130791538
3773883,Trier,12.4037229938099
7798,Freiburg im Breisgau,14.7227823864314
17322,Bautzen,30.9656058055278
4849,Schwerin,47.9144075866399
1600,Friedrichshafen,48.3882313497896
5716,Wiesbaden,49.6459716318507
14066,Wolfsburg,56.5085221802794
1084,Dresden,65.6470800371961
10407,Schweinfurt,67.4982856682416
14147,Halle (Saale),82.9089436111402
15096,Bochum,87.848419306517
3574,Nürnberg,89.4370326472211
9290,Brandenburg an der Havel,99.7327912700419
1036,Dortmund,100.930026750631
1398704,Würzburg,111.641117399816
5270723,Essen,121.72411132576
1887,Göttingen,121.852845237889
639,Bonn,126.790257523924
26822,Ingolstadt,145.20703869602
2552494,Berlin,145.885973632493
733124,Plauen,162.058772212758
2674336,Aachen,187.164724756602
4237950,Saarbrücken,219.943823282192
3475,Mönchengladbach,233.118394360024
9432,Lübeck,260.726183791505
207849,Plattling,261.512539993686
2822460,Kiel,263.003037296104
3215,München,276.495366258296
8787,Augsburg,276.546305575751
24192,Marburg,280.559892568134
5076,Tübingen,293.005342719261
8272,Heidelberg,303.483213472027
2667,Konstanz,304.54712289612
1175,Düsseldorf,315.365040646049
17929,Aschaffenburg,326.681622913015
46539,Chemnitz,339.629041639547
16565,Frankfurt am Main,342.063832176047
12049,Regensburg,346.638499541302
60100,Braunschweig,353.444984767142
2996,Leipzig,361.551781873839
4492,Stuttgart,396.629700691179
795955,Passau,414.029313509372
19340,Flensburg,437.494861462434
2129,Hamburg,444.771291460761
16976,Görlitz,459.291853036347
13935,Hildesheim,464.861340685547
15097,Duisburg,471.642991131877
13461,Koblenz,475.223351316616
5159742,Offenbach am Main,500.964280670357
16862,Kassel,509.563671432501
14065,Celle,526.350725215265
2861266,Krefeld,542.028389009802
3229,Magdeburg,546.914570477077
1124,Darmstadt,555.502924045362
17924,Hannover,576.634354020948
3951046,Mannheim,615.488831672986
711,Bayreuth,623.634472556071
3687114,Wuppertal,624.181530507627
999397,Karlsruhe,625.936489050813
66522,Traunstein,682.973739407087
35705,Kempten (Allgäu),734.500926668883
14174,Rostock,766.010709342337
3246198,Salzgitter,814.507572932802
47327,Straubing,840.143272900574
3038674,Wilhelmshaven,842.25214077604
32983,Neumarkt in der Oberpfalz,871.819784545356
3062,Ludwigshafen am Rhein,911.639852141592
17627,Siegen,953.716870500261
85620,Weiden in der Oberpfalz,1012.81429171273
81562,Gießen,1025.23134399582
3067,Lüneburg,1109.25848514415
3220301,Ulm,1136.41042002187
21766,Neu-Ulm,1136.41042002201
17342,Gera,1161.62837186701
11034,Bamberg,1209.09111059525
857,Coburg,1232.14767462549
37559,Ansbach,1235.92260030096
16814,Fulda,1236.12252761979
72067,Lörrach,1267.85843374513
1432544,Heilbronn,1312.21933110113
8144,Zwickau,1329.45769469091
13666,Cottbus,1349.11371770665
39409,Hagen,1368.14567029254
9281,Frankfurt (Oder),1419.65014344422
3138194,Erlangen,1481.27341893642
17637,Hof (Saale),1496.18673132914
538,Bielefeld,1541.22991886524
75958,Weil am Rhein,1672.24661408193
11849,Wetzlar,1688.82951590873
2655245,Potsdam,1734.2507187166
17573,Oldenburg (Oldb),1744.44530914518
60170,Fürth,1798.65274107921
69276,Kaufbeuren,1880.75668992569
3698848,Hoyerswerda,1881.88521290987
48503,Memmingen,1908.1052222356
18618,Kaiserslautern,2028.34124858657
85088,Weingarten (Württemberg),2049.03315790674
18165,Reutlingen,2095.81960326401
2722831,Dessau-Roßlau,2157.53430692292
30548,Offenburg,2236.39997693272
18359,Amberg,2314.1635351073
490078,Greifswald,2321.146799618
33549,Villingen-Schwenningen,2354.56309132225
42050,Neumünster,2366.81104672588
18493,Neubrandenburg,2420.00907669023
8273,Pforzheim,2640.55265547327
4093789,Rosenheim,2666.18184123735
17938,Stralsund,2939.95327674182
31694,Deggendorf,3287.14014983671
24802,Landshut,3384.67570199205
11999,Ravensburg,3481.37529022302
4474649,Paderborn,4114.09546739576
