page,type,incoming,avg
Berlin,1,639340,187.0637605725439167
Köln,1,220329,121.3128898128898129
Hamburg,1,218564,155.0408333333333333
München,1,198911,166.2251616696061141
Leipzig,1,124118,130.6038338658146965
Dresden,1,121232,207.5824795081967213
Hannover,1,100271,67.0157397691500525
Nürnberg,1,98748,88.7011128775834658
Stuttgart,1,87723,165.5635036496350365
Bremen,1,85392,100.3196721311475410
Frankfurt am Main,1,83723,141.7460035523978686
Düsseldorf,1,79853,128.6729758149316509
Braunschweig,1,66259,76.5410821643286573
Bonn,1,60649,148.0604113110539846
Lübeck,1,60036,68.7576419213973799
Münster (Westfalen),1,51712,86.7526881720430108
Aachen,1,51604,83.8070539419087137
Mainz,1,50182,249.5788617886178862
Mainz,5,50182,249.5788617886178862
Magdeburg,1,44389,41.0313725490196078
Augsburg,1,40927,57.2288461538461538
Essen,1,40924,78.3173588924387646
Heilbronn,1,39707,68.5372023809523810
Karlsruhe,1,39090,152.3935860058309038
Heidelberg,1,36902,113.3739376770538244
Kassel,1,36303,107.5589123867069486
Dortmund,1,36220,152.0771428571428571
Kiel,1,35539,115.4555984555984556
Mannheim,1,35345,153.2268518518518519
Erfurt,1,31012,69.5909090909090909
Rostock,1,30719,87.2181818181818182
Koblenz,1,30583,141.1555555555555556
Koblenz,5,30583,141.1555555555555556
Potsdam,1,29440,247.4300791556728232
Halle (Saale),1,29079,79.5558739255014327
Jena,1,28824,61.2569444444444444
Darmstadt,1,28656,70.1294765840220386
Trier,1,27314,117.5155279503105590
Trier,5,27314,117.5155279503105590
Göttingen,1,27235,153.4416243654822335
Regensburg,1,27161,69.8504672897196262
Mönchengladbach,1,27144,27.4905231235784685
Radebeul,2,26412,291.2225289895085588
Freiburg im Breisgau,1,25959,118.4716049382716049
Quedlinburg,2,25726,15.8401184307920059
Wuppertal,1,25441,69.7843971631205674
Duisburg,1,25056,146.2682926829268293
Stralsund,1,23689,32.3027343750000000
Chemnitz,1,23673,88.5888324873096447
