page,incoming
Altenburg,9084
Eisenach,13047
Gotha,14283
Mühlhausen/Thüringen,3651
Nordhausen,6135
Saalfeld (Mühlhausen),46
Rudolstadt,4783
Bad Blankenburg,684
Suhl,4118
Zella-Mehlis,458
Weimar,22169
Apolda,3278
Arnstadt,3736
Artern/Unstrut,266
Bad Langensalza,1555
Bad Lobenstein,1057
Bad Salzungen,1659
Eisenberg (Thüringen),1477
Greiz,4325
Heilbad Heiligenstadt,1957
Hermsdorf (Thüringen),567
Bad Klosterlausnitz,169
Hildburghausen,2640
Ilmenau,4557
Leinefelde-Worbis,478
Meiningen,8919
Neuhaus am Rennweg,610
Lauscha,912
Pößneck,835
Schleiz,1740
Schmalkalden,2951
Schmölln,964
Gößnitz (Thüringen),652
Sömmerda,1361
Sondershausen,4108
Sonneberg,3476
Stadtroda,702
Zeulenroda-Triebes,233
Bad Oldesloe,1123
Bad Segeberg,1522
Wahlstedt,63
Brunsbüttel,1076
Eckernförde,3990
Elmshorn,1999
Eutin,2799
Heide (Holstein),2473
Husum,3454
Itzehoe,3124
Kaltenkirchen,566
Mölln,1198
Rendsburg,4262
Schleswig,13118
Ahrensburg,1613
Geesthacht,1081
Norderstedt,1208
Pinneberg,2397
Wedel,1047
Bitterfeld-Wolfen,457
Halberstadt,5585
Merseburg,5374
Naumburg (Saale),5027
Schönebeck (Elbe),1563
Stendal,4603
Lutherstadt Wittenberg,13342
Aschersleben,2383
Bernburg (Saale),2021
Burg (bei Magdeburg),1873
Lutherstadt Eisleben,1523
Haldensleben,1585
Köthen (Anhalt),1806
Oschersleben (Bode),690
Quedlinburg,25726
Salzwedel,3073
Sangerhausen,1920
Staßfurt,1899
Weißenfels,2886
Wernigerode,3091
Zeitz,1896
Zerbst/Anhalt,916
Annaberg-Buchholz,3597
Borna,2004
Coswig (Sachsen),1313
Crimmitschau,1134
Delitzsch,2528
Dippoldiswalde,1620
Döbeln,2059
Eilenburg,3319
Freiberg,9003
Freital,4195
Glauchau,1456
Grimma,3293
Großenhain,2353
Kamenz,2182
Limbach-Oberfrohna,595
Löbau,3005
Marienberg,1955
Markkleeberg,1212
Meißen,9552
Mittweida,1416
Niesky,833
Oelsnitz/Vogtl.,723
Oschatz,1674
Pirna,5842
Radeberg,2302
Radebeul,26412
Reichenbach im Vogtland,1127
Riesa,2816
Schkeuditz,774
Stollberg/Erzgeb.,1093
Torgau,2590
Weißwasser/Oberlausitz,919
Werdau,1145
Wurzen,1581
Zittau,3830
Auerbach/Vogtl.,863
Ellefeld,75
Falkenstein/Vogtl.,389
Rodewisch,319
Hohenstein-Ernstthal,756
Lichtenstein/Sa.,407
Oberlungwitz,135
Aue (Sachsen),4237
Lauter (Lauter-Bernsbach),140
Lößnitz (Erzgebirge),639
Bad Schlema,584
Schneeberg (Erzgebirge),2822
Schwarzenberg/Erzgeb.,1959
Blieskastel,1385
Dillingen/Saar,1595
Homburg,3640
Lebach,879
Merzig,2219
Neunkirchen (Saar),3115
Saarlouis,4471
St. Ingbert,1932
St. Wendel,2595
Völklingen,1283
Wadern,1503
Landau in der Pfalz,4280
Speyer,15648
Worms,11502
Zweibrücken,3260
Homburg,3640
Altenkirchen (Westerwald),2233
Alzey,2650
Andernach,2911
Bad Bergzabern,834
Bad Dürkheim,2561
Bad Ems,1167
Bad Kreuznach,4982
Bingen am Rhein,3680
Boppard,3026
Dahn,943
Daun,1589
Diez,1499
Frankenthal (Pfalz),3562
Germersheim,2392
Gerolstein,1122
Grünstadt,1589
Hermeskeil,704
Ingelheim am Rhein,1553
Linz am Rhein,1176
Mayen,2546
Pirmasens,3837
Prüm,2060
Saarburg,1724
Wittlich,1629
Adenau,961
Bad Neuenahr-Ahrweiler,1011
Remagen,1663
Sinzig,856
Annweiler am Trifels,813
Edenkoben,811
Herxheim bei Landau/Pfalz,447
Landau in der Pfalz,4280
Bad Sobernheim,549
Kirn,1112
Meisenheim,852
Baumholder,625
Birkenfeld (Nahe),1534
Idar-Oberstein,2040
Bendorf,716
Höhr-Grenzhausen,414
Koblenz,30583
Lahnstein,904
Vallendar,597
Bernkastel-Kues,1383
Traben-Trarbach,799
Betzdorf,971
Kirchen (Sieg),633
Wissen (Stadt),522
Bitburg,2336
Neuerburg,472
Cochem,1799
Zell (Mosel),509
Dernbach (Pfalz),123
Montabaur,2189
Wirges,229
Dierdorf,654
Neuwied,5097
Eisenberg (Pfalz),665
Kirchheimbolanden,948
Rockenhausen,526
Hachenburg,1521
Westerburg,837
Haßloch,458
Neustadt an der Weinstraße,4164
Kandel (Pfalz),655
Wörth am Rhein,851
Kastellaun,694
Simmern/Hunsrück,1801
Kirchberg (Hunsrück),585
Konz,1101
Trier,27314
Kusel,1675
Lauterecken,830
Landstuhl,959
Ramstein-Miesenbach,358
Ludwigshafen am Rhein,7460
Schifferstadt,978
Mainz,50182
Nieder-Olm,418
Nierstein,489
Oppenheim,1945
Nastätten,389
Sankt Goar,531
Sankt Goarshausen,387
Bottrop,3575
Gelsenkirchen,9307
Hamm,12750
Herne,6799
Leverkusen,6486
Mülheim an der Ruhr,6452
Oberhausen,10739
Remscheid,6833
Solingen,8802
Ennepetal,1361
Gevelsberg,939
Hattingen,3827
Herdecke,1150
Schwelm,1573
Sprockhövel,1332
Wetter (Ruhr),869
Witten,6661
Arnsberg,8822
Brilon,7237
Marsberg,1915
Schmallenberg,3641
Sundern (Sauerland),1321
Winterberg,2082
Meschede,3246
Altena,2362
Hemer,4708
Iserlohn,7216
Lüdenscheid,6095
Meinerzhagen,1220
Menden (Sauerland),2393
Plettenberg,1418
Werdohl,660
Attendorn,1677
Lennestadt,1518
Olpe,3567
Bad Berleburg,1808
Bad Laasphe,1832
Kreuztal,1319
Neunkirchen (Siegerland),942
Geseke,1222
Lippstadt,3141
Soest,6928
Warstein,1720
Werl,2975
Bergkamen,1357
Kamen,1619
Lünen,2368
Schwerte,2065
Selm,922
Unna,4433
Werne,1201
Gütersloh,6038
Halle (Westf.),1926
Rheda-Wiedenbrück,894
Rietberg,1546
Bünde,1775
Herford,8623
Löhne,1132
Vlotho,1507
Bad Driburg,1080
Beverungen,698
Brakel,1172
Höxter,3543
Steinheim (Westfalen),956
Warburg,3722
Bad Salzuflen,1904
Barntrup,649
Blomberg,1304
Detmold,9229
Horn-Bad Meinberg,1539
Lage (Lippe),1693
Lemgo,4227
Bad Oeynhausen,1963
Espelkamp,720
Lübbecke,2942
Minden,13675
Petershagen,1587
Porta Westfalica (Stadt),1531
Büren (Westfalen),1998
Delbrück,888
Emmerich am Rhein,1950
Geldern,2532
Goch,1467
Kevelaer,1285
Kleve,5597
Erkrath,870
Haan,1440
Heiligenhaus,717
Hilden,3194
Langenfeld (Rheinland),2100
Mettmann,2388
Monheim am Rhein,961
Ratingen,2542
Velbert,3003
Wülfrath,771
Dormagen,1569
Grevenbroich,2542
Kaarst,1063
Korschenbroich,1682
Meerbusch,1667
Neuss,8506
Kempen,1754
Nettetal,768
Schwalmtal (Niederrhein),483
Tönisvorst,455
Viersen,4293
Willich,912
Dinslaken,1942
Hamminkeln,531
Kamp-Lintfort,811
Moers,4858
Neukirchen-Vluyn,532
Rheinberg,1519
Voerde (Niederrhein),448
Wesel,4223
Xanten,2060
Alsdorf,1433
Baesweiler,503
Eschweiler,5986
Herzogenrath,1274
Monschau,1787
Stolberg (Rheinland),3086
Würselen,699
Düren,14659
Jülich,5698
Euskirchen,4182
Mechernich,1200
Schleiden,1377
Erkelenz,2889
Geilenkirchen,2364
Heinsberg,4226
Hückelhoven,828
Übach-Palenberg,81
Wegberg,1263
Engelskirchen,1640
Gummersbach,3341
Radevormwald,3457
Waldbröl,792
Wipperfürth,2243
Bedburg,1198
Bergheim,2822
Brühl (Rheinland),3261
Erftstadt,1687
Frechen,1576
Hürth,3002
Kerpen,1394
Pulheim,1161
Wesseling,831
Bergisch Gladbach,7245
Leichlingen (Rheinland),1058
Wermelskirchen,943
Bad Honnef,3582
Bornheim (Rheinland),1209
Eitorf,1886
Hennef (Sieg),1578
Königswinter,3165
Lohmar,2561
Niederkassel,433
Rheinbach,1242
Sankt Augustin,991
Siegburg,3113
Troisdorf,1541
Ahaus,1307
Bocholt,2926
Borken,2384
Gronau (Westf.),1231
Stadtlohn,600
Vreden,622
Coesfeld,3161
Dülmen,1650
Lüdinghausen,1196
Castrop-Rauxel,1779
Datteln,1309
Dorsten,2382
Gladbeck,2052
Haltern am See,1239
Herten,1663
Marl,2416
Oer-Erkenschwick,558
Recklinghausen,5414
Waltrop,606
Emsdetten,791
Greven,973
Ibbenbüren,2289
Lengerich (Westfalen),841
Ochtrup,535
Rheine,3060
Steinfurt,2326
Ahlen,1934
Beckum,1357
Oelde,925
Warendorf,2018
Emden,10903
Lingen (Ems),2378
Nordhorn,2781
Delmenhorst,3058
Hameln,4834
Langenhagen,1443
Bad Zwischenahn,968
Rastede,544
Westerstede,807
Aurich,7295
Norden (Ostfriesland),5139
Cloppenburg,1811
Friesoythe,655
Cuxhaven,5147
Hemmoor,403
Diepholz,2312
Stuhr,556
Sulingen,703
Syke,1974
Meppen,2466
Papenburg,1616
Jever,2421
Varel,1347
Gifhorn,2754
Wittingen,640
Bad Harzburg,1458
Clausthal-Zellerfeld,1929
Goslar,6230
Seesen,987
Duderstadt,1616
Hann. Münden,2512
Bad Pyrmont,1444
Barsinghausen,1088
Burgdorf (Region Hannover),1506
Garbsen,760
Großburgwedel,213
Laatzen,873
Lehrte,1498
Neustadt am Rübenberge,1433
Springe,1699
Wunstorf,806
Buchholz in der Nordheide,713
Seevetal,475
Winsen (Luhe),592
Munster (Örtze),1218
Soltau,2860
Walsrode,1355
Helmstedt,4072
Alfeld (Leine),1195
Sarstedt,596
Holzminden,2716
Leer (Ostfriesland),5535
Lüchow (Wendland),2038
Nienburg/Weser,2450
Bad Gandersheim,1301
Einbeck,2953
Northeim,3107
Uslar,1440
Wildeshausen,710
Bramsche,972
Georgsmarienhütte,788
Melle,2110
Quakenbrück,1311
Osterholz-Scharmbeck,1064
Osterode am Harz,2148
Peine,2977
Bremervörde,1606
Rotenburg (Wümme),1586
Zeven,389
Bad Nenndorf,615
Bückeburg,2366
Rinteln,2443
Stadthagen,1320
Buxtehude,1635
Stade,5824
Uelzen,2987
Lohne (Oldenburg),856
Vechta,2416
Achim (Landkreis Verden),1041
Verden (Aller),1699
Brake (Unterweser),1238
Nordenham,931
Wittmund,1641
Wolfenbüttel,5306
Anklam,2656
Bad Doberan,1488
Bergen auf Rügen,967
Demmin,2624
Grevesmühlen,870
Grimmen,861
Güstrow,3790
Hagenow,1169
Ludwigslust,2914
Neustrelitz,3904
Parchim,3168
Pasewalk,1528
Ribnitz-Damgarten,949
Teterow,919
Ueckermünde,862
Waren (Müritz),983
Wismar,4878
Wolgast,1808
Bad Hersfeld,3044
Friedberg (Hessen),3692
Bad Nauheim,2234
Limburg an der Lahn,4365
Rüsselsheim am Main,1735
Allendorf (Eder),274
Battenberg (Eder),806
Alsfeld,1809
Bad Arolsen,1362
Bad Homburg vor der Höhe,3967
Bad Orb,676
Bad Schwalbach,775
Bad Soden am Taunus,949
Bad Soden-Salmünster,341
Bad Vilbel,1225
Bad Wildungen,1806
Baunatal,1085
Bebra,1282
Bensheim,3887
Biedenkopf,2510
Borken (Hessen),1277
Bruchköbel,269
Büdingen,2902
Bürstadt,431
Butzbach,2213
Dieburg,2056
Dietzenbach,573
Dillenburg,2855
Dreieich,1030
Eltville am Rhein,923
Erbach (Odenwald),2134
Eschborn,839
Eschwege,1869
Flörsheim am Main,562
Frankenberg (Eder),1758
Friedrichsdorf,925
Fritzlar,2641
Geisenheim,1133
Gelnhausen,2340
Gladenbach,1240
Griesheim,685
Groß-Gerau,1566
Groß-Umstadt,1252
Grünberg (Hessen),1394
Haiger,998
Hattersheim am Main,260
Heppenheim (Bergstraße),1936
Herborn,2362
Heringen (Werra),450
Hessisch Lichtenau,748
Heusenstamm,648
Hochheim am Main,590
Hofgeismar,1182
Hofheim am Taunus,985
Homberg (Efze),1547
Hünfeld,1081
Hungen,1137
Lich,2509
Idstein,1987
Kelkheim (Taunus),518
Kirchhain,1044
Königstein im Taunus,1793
Korbach,1849
Kronberg im Taunus,1186
Lampertheim,837
Langen (Hessen),1257
Laubach,1441
Lauterbach (Hessen),1447
Lorsch,1197
Maintal,536
Melsungen,987
Michelstadt,1317
Mörfelden-Walldorf,358
Mühlheim am Main,411
Neu-Isenburg,927
Nidda,2299
Obertshausen,267
Oberursel (Taunus),1274
Pfungstadt,528
Rödermark,343
Rodgau,861
Rotenburg an der Fulda,841
Rüdesheim am Rhein,1415
Schlüchtern,1378
Schwalbach am Taunus,254
Schwalmstadt,1022
Seligenstadt,1219
Sontra,762
Stadtallendorf,694
Taunusstein,456
Usingen,1478
Vellmar,389
Viernheim,659
Wächtersbach,426
Weilburg,3171
Weiterstadt,297
Witzenhausen,773
Wolfhagen,645
Bad Belzig,902
Bad Freienwalde (Oder),788
Beeskow,2069
Bernau bei Berlin,2150
Eberswalde,3834
Eisenhüttenstadt,1330
Erkner,597
Falkensee,827
Finsterwalde,1261
Forst (Lausitz),1584
