page,incoming
Erfurt,31012
Gera,15186
Jena,28824
Flensburg,20045
Kiel,35539
Lübeck,60036
Neumünster,3644
Dessau-Roßlau,1875
Halle (Saale),29079
Magdeburg,44389
Chemnitz,23673
Dresden,121232
Leipzig,124118
Plauen,9046
Zwickau,5491
Bautzen,10363
Görlitz,15015
Hoyerswerda,2697
Saarbrücken,19149
Kaiserslautern,9970
Koblenz,30583
Ludwigshafen am Rhein,7460
Mainz,50182
Trier,27314
Aachen,51604
Bielefeld,20412
Bonn,60649
Bochum,21694
Dortmund,36220
Duisburg,25056
Düsseldorf,79853
Essen,40924
Hagen,9566
Köln,220329
Krefeld,13883
Mönchengladbach,27144
Münster (Westfalen),51712
Paderborn,15427
Siegen,12057
Wuppertal,25441
Braunschweig,66259
Celle,8998
Göttingen,27235
Hannover,100271
Hildesheim,16635
Lüneburg,13495
Oldenburg (Oldb),367
Osnabrück,19277
Salzgitter,6261
Wilhelmshaven,7142
Wolfsburg,6282
Neubrandenburg,5729
Rostock,30719
Schwerin,18027
Stralsund,23689
Greifswald,16749
Darmstadt,28656
Frankfurt am Main,83723
Fulda,13880
Gießen,15401
Hanau,17705
Kassel,36303
Marburg,20060
Offenbach am Main,6676
Wetzlar,6439
Wiesbaden,22059
Brandenburg an der Havel,7143
Cottbus,11594
Frankfurt (Oder),8085
Potsdam,29440
Amberg,5921
Ansbach,7626
Aschaffenburg,10176
Augsburg,40927
Bamberg,18073
Bayreuth,15892
Coburg,17173
Deggendorf,2969
Plattling,749
Hof (Saale),9672
Ingolstadt,9563
Kaufbeuren,4775
Kempten (Allgäu),6346
Landshut,10030
Memmingen,7622
München,198911
Neu-Ulm,2618
Ulm,20181
Neumarkt in der Oberpfalz,2802
Nürnberg,98748
Fürth,8972
Erlangen,11747
Passau,12843
Regensburg,27161
Rosenheim,6102
Schweinfurt,6053
Straubing,5792
Traunstein,2533
Weiden in der Oberpfalz,2066
Würzburg,20799
Freiburg im Breisgau,25959
Friedrichshafen,5064
Ravensburg,7030
Weingarten (Württemberg),1989
Heidelberg,36902
Heilbronn,39707
Karlsruhe,39090
Konstanz,14474
Lörrach,5048
Weil am Rhein,1240
Mannheim,35345
Ludwigshafen am Rhein,7460
Offenburg,3771
Pforzheim,6546
Reutlingen,5761
Tübingen,21401
Stuttgart,87723
Ulm,20181
Neu-Ulm,2618
Villingen-Schwenningen,3071
Berlin,639340
Hamburg,218564
Bremen,85392
