page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Berlin,1,639340,187.0637605725439167,3107,81272
Köln,1,220329,121.3128898128898129,975,24879
Hamburg,1,218564,155.0408333333333333,1223,22983
München,1,198911,166.2251616696061141,1775,24519
Leipzig,1,124118,130.6038338658146965,634,15345
Dresden,1,121232,207.5824795081967213,1973,27706
Hannover,1,100271,67.0157397691500525,965,21969
Nürnberg,1,98748,88.7011128775834658,642,11060
Stuttgart,1,87723,165.5635036496350365,707,12373
Bremen,1,85392,100.3196721311475410,613,13651
Frankfurt am Main,1,83723,141.7460035523978686,1136,13863
Düsseldorf,1,79853,128.6729758149316509,966,17563
Braunschweig,1,66259,76.5410821643286573,500,14769
Bonn,1,60649,148.0604113110539846,780,14277
Lübeck,1,60036,68.7576419213973799,462,7377
Münster (Westfalen),1,51712,86.7526881720430108,376,6319
Aachen,1,51604,83.8070539419087137,485,10707
Mainz,1,50182,249.5788617886178862,620,20888
Mainz,5,50182,249.5788617886178862,620,20888
Magdeburg,1,44389,41.0313725490196078,513,8876
Augsburg,1,40927,57.2288461538461538,536,9488
Essen,1,40924,78.3173588924387646,945,12118
Heilbronn,1,39707,68.5372023809523810,678,13615
Karlsruhe,1,39090,152.3935860058309038,346,6061
Heidelberg,1,36902,113.3739376770538244,356,6056
Kassel,1,36303,107.5589123867069486,336,5396
Dortmund,1,36220,152.0771428571428571,705,9760
Kiel,1,35539,115.4555984555984556,259,4992
Mannheim,1,35345,153.2268518518518519,439,7816
Erfurt,1,31012,69.5909090909090909,336,6970
Rostock,1,30719,87.2181818181818182,224,3983
Koblenz,5,30583,141.1555555555555556,450,21950
Koblenz,1,30583,141.1555555555555556,450,21950
Potsdam,1,29440,247.4300791556728232,384,5279
Halle (Saale),1,29079,79.5558739255014327,353,3081
Jena,1,28824,61.2569444444444444,297,3910
Darmstadt,1,28656,70.1294765840220386,381,5770
Trier,1,27314,117.5155279503105590,327,11980
Trier,5,27314,117.5155279503105590,327,11980
Göttingen,1,27235,153.4416243654822335,198,2950
Regensburg,1,27161,69.8504672897196262,331,4933
Mönchengladbach,1,27144,27.4905231235784685,1335,15388
Radebeul,2,26412,291.2225289895085588,1837,14161
Freiburg im Breisgau,1,25959,118.4716049382716049,422,4145
Quedlinburg,2,25726,15.8401184307920059,1358,19628
Wuppertal,1,25441,69.7843971631205674,1411,10687
Duisburg,1,25056,146.2682926829268293,538,6667
Stralsund,1,23689,32.3027343750000000,513,10160
Chemnitz,1,23673,88.5888324873096447,198,4053
Weimar,3,22169,71.9695817490494297,264,2776
Wiesbaden,1,22059,198.0715563506261181,567,4600
Bochum,1,21694,85.5266331658291457,1006,7538
Tübingen,1,21401,348.2166666666666667,241,2575
Würzburg,1,20799,84.1206030150753769,206,2544
Bielefeld,1,20412,96.4543209876543210,407,7534
Ulm,1,20181,111.1578947368421053,382,7832
Marburg,1,20060,129.0847457627118644,179,2861
Flensburg,1,20045,107.7008547008547009,236,7047
Osnabrück,1,19277,77.4623655913978495,187,3377
Saarbrücken,1,19149,108.4127516778523490,302,5073
Bamberg,1,18073,81.9897435897435897,199,3448
Schwerin,1,18027,62.4899328859060403,150,3192
Hanau,1,17705,75.6255144032921811,247,4086
Coburg,1,17173,52.5204918032786885,247,4264
Greifswald,1,16749,88.2803738317757009,108,2273
Hildesheim,1,16635,60.3843137254901961,255,4677
Bayreuth,1,15892,94.6060606060606061,133,2675
Speyer,3,15648,114.8807947019867550,184,3001
Paderborn,1,15427,132.5829383886255924,211,3826
Gießen,1,15401,116.9809523809523810,211,2545
Gera,1,15186,43.6113537117903930,233,2840
Görlitz,1,15015,75.3511904761904762,169,3889
Düren,6,14659,42.4691151919866444,602,6250
Konstanz,1,14474,95.3676470588235294,205,2505
Gotha,3,14283,63.6912751677852349,150,2489
Bremerhaven,2,14111,162.8603351955307263,182,2746
Krefeld,1,13883,73.3053892215568862,169,2149
Fulda,1,13880,106.3200000000000000,130,2681
