State,Name,Einwohner
Baden-Württemberg,Aalen,67.344
Baden-Württemberg,Achern,25.018
Baden-Württemberg,Albstadt,44.431
Baden-Württemberg,Backnang,36.266
Baden-Württemberg,Baden-Baden,54.160
Baden-Württemberg,Bad Friedrichshall,19.019
Baden-Württemberg,Bad Krozingen,18.692
Baden-Württemberg,Bad Mergentheim,23.064
Baden-Württemberg,Bad Rappenau,20.510
Baden-Württemberg,Bad Säckingen,17.036
Baden-Württemberg,Bad Saulgau,17.286
Baden-Württemberg,Bad Waldsee,20.011
Baden-Württemberg,Baiersbronn,14.667
Baden-Württemberg,Balingen,33.640
Baden-Württemberg,Biberach an der Riß,32.233
Baden-Württemberg,Bietigheim-Bissingen,42.968
Baden-Württemberg,Blaustein,15.643
Baden-Württemberg,Böblingen,48.696
Baden-Württemberg,Brackenheim,15.727
Baden-Württemberg,Breisach am Rhein,15.315
Baden-Württemberg,Bretten,28.826
Baden-Württemberg,Bruchsal,44.104
Baden-Württemberg,Buchen (Odenwald),17.704
Baden-Württemberg,Bühl (Baden),28.882
Baden-Württemberg,Calw,23.232
Baden-Württemberg,Crailsheim,33.768
Baden-Württemberg,Ditzingen,24.633
Baden-Württemberg,Donaueschingen,21.746
Baden-Württemberg,Ebersbach an der Fils,15.206
Baden-Württemberg,Eggenstein-Leopoldshafen,15.919
Baden-Württemberg,Ehingen (Donau),25.503
Baden-Württemberg,Eislingen/Fils,20.177
Baden-Württemberg,Ellwangen (Jagst),26.574
Baden-Württemberg,Emmendingen,27.383
Baden-Württemberg,Eppelheim,15.177
Baden-Württemberg,Eppingen,21.312
Baden-Württemberg,Esslingen am Neckar,91.271
Baden-Württemberg,Ettlingen,38.982
Baden-Württemberg,Fellbach,45.147
Baden-Württemberg,Filderstadt,44.977
Baden-Württemberg,Freiberg am Neckar,15.741
Baden-Württemberg,Freiburg im Breisgau,226.393
Baden-Württemberg,Freudenstadt,22.579
Baden-Württemberg,Friedrichshafen,59.108
Baden-Württemberg,Gaggenau,29.032
Baden-Württemberg,Geislingen an der Steige,27.168
Baden-Württemberg,Gerlingen,19.450
Baden-Württemberg,Giengen an der Brenz,19.342
Baden-Württemberg,Göppingen,56.781
Baden-Württemberg,Hechingen,18.971
Baden-Württemberg,Heidelberg,156.267
Baden-Württemberg,Heidenheim an der Brenz,48.048
Baden-Württemberg,Heilbronn,122.567
Baden-Württemberg,Herrenberg,31.003
