results,middle,upper
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,1,10
11,1,11
12,1,12
13,1,12
14,1,13
15,1,14
16,2,14
17,3,15
18,3,16
19,3,16
20,3,17
21,3,18
22,3,19
23,4,19
24,4,20
25,4,21
26,4,22
27,4,23
28,4,24
29,4,25
30,4,26
31,4,27
32,5,27
33,5,28
34,5,29
35,6,29
36,6,30
37,6,31
38,6,32
39,6,33
40,6,33
41,6,34
42,6,35
43,6,36
44,6,36
45,7,36
46,8,36
47,9,36
48,10,36
49,11,36
50,11,37
51,11,38
52,12,38
53,12,39
54,13,39
55,14,39
56,14,40
57,14,41
58,14,42
59,14,43
60,14,44
61,14,45
62,14,46
63,15,46
64,15,47
65,15,48
66,15,49
67,16,49
68,16,50
69,16,51
70,17,51
71,17,51
72,17,52
73,17,52
74,17,53
75,17,54
76,18,54
77,18,55
78,19,55
79,20,55
80,21,55
81,21,56
82,22,56
83,22,57
84,22,58
85,23,58
86,23,58
87,23,59
88,23,60
89,23,62
90,24,62
91,24,63
92,25,63
93,26,63
94,27,63
95,27,64
96,27,65
97,27,65
98,27,65
99,27,66
100,27,66
101,27,67
102,27,67
103,27,67
104,28,67
105,28,67
106,29,67
107,30,67
108,30,67
109,30,67
110,30,68
111,31,68
112,31,69
113,31,70
114,32,70
115,33,70
116,34,70
117,34,71
118,34,72
119,35,72
120,36,72
121,36,73
122,36,74
123,36,75
124,37,75
125,38,75
126,39,75
127,40,75
128,40,75
129,40,75
130,41,75
131,41,75
132,41,75
133,42,75
134,43,75
135,44,75
136,45,75
137,46,75
138,46,75
139,47,75
140,47,75
141,47,75
142,47,75
143,48,75
144,48,76
145,49,77
146,49,78
147,50,78
148,51,78
149,52,78
150,52,79
151,52,80
152,52,80
153,52,80
154,53,80
155,53,80
156,54,80
157,55,80
158,56,80
159,57,80
160,57,80
161,57,81
162,58,81
163,59,81
164,59,81
165,60,81
166,60,81
167,61,81
168,62,81
169,62,81
170,63,81
171,63,82
172,63,82
173,64,82
174,65,82
175,66,82
176,67,82
177,68,82
178,69,82
179,70,82
180,70,82
181,70,82
182,70,83
183,71,83
184,71,83
185,71,83
186,72,83
187,73,83
188,74,83
189,74,83
190,75,83
191,75,84
192,76,84
193,76,84
194,76,84
195,76,84
196,77,84
197,78,84
198,79,84
199,80,84
200,81,84
201,81,84
202,81,85
203,82,85
204,83,85
205,83,85
206,84,85
207,85,85
208,85,86
209,85,87
210,85,87
211,86,87
212,87,87
213,87,87
214,87,88
215,88,88
216,89,88
217,90,88
218,91,88
219,92,88
220,92,89
221,93,89
222,93,89
223,93,89
224,93,89
225,94,89
226,95,89
227,95,89
228,95,89
229,95,90
230,96,90
231,96,90
232,97,90
233,97,90
234,98,90
235,99,90
236,100,90
237,101,90
238,101,91
239,102,91
240,103,91
241,104,91
242,105,91
243,105,91
244,105,91
245,105,91
246,106,91
247,106,91
248,106,91
249,106,91
250,106,91
251,107,91
252,108,91
253,109,91
254,110,91
255,111,91
256,112,91
257,112,91
258,112,91
259,113,91
260,113,92
261,113,92
262,114,92
263,114,92
264,115,92
265,115,92
266,115,92
267,116,92
268,117,92
269,117,92
270,118,92
271,119,92
272,120,92
273,120,92
274,120,92
275,121,92
276,122,92
277,122,92
278,122,92
279,122,92
280,123,92
281,123,92
282,124,92
283,124,92
284,125,92
285,125,92
286,126,92
287,126,92
288,126,92
289,127,92
290,127,92
291,128,92
292,128,92
293,128,92
294,128,93
295,129,93
296,129,93
297,130,93
298,130,93
299,130,93
300,130,93
301,131,93
302,132,93
303,133,93
304,133,93
305,134,93
306,134,93
307,135,93
308,136,93
309,136,93
310,136,93
311,137,93
312,138,93
313,138,93
314,138,93
315,139,93
316,139,93
317,139,93
318,140,93
319,141,93
320,142,93
321,142,93
322,142,93
323,143,93
324,143,93
325,143,93
326,144,93
327,144,94
328,145,94
329,146,94
330,147,94
331,147,94
332,147,94
333,147,94
334,148,94
335,149,94
336,150,94
337,151,94
338,152,94
339,152,94
340,153,94
341,154,94
342,155,94
343,155,94
344,155,94
345,155,94
346,155,94
347,155,94
348,156,94
349,157,94
350,157,94
351,157,94
352,157,94
353,157,95
354,157,95
355,157,95
356,157,95
357,157,95
358,158,95
359,159,95
360,160,95
361,160,95
362,161,95
363,161,95
364,162,95
365,162,96
366,163,96
367,163,96
368,164,96
369,164,96
370,164,96
371,164,96
372,165,96
373,165,96
374,166,96
375,166,96
376,167,96
377,168,96
378,169,96
379,169,96
380,169,96
381,169,96
382,169,96
383,170,96
384,171,96
385,172,96
386,172,96
387,173,96
388,173,96
389,173,97
390,174,97
391,174,98
392,174,98
393,174,98
394,174,98
395,174,98
396,175,98
397,175,98
398,176,98
399,176,98
400,176,98
401,177,98
402,177,98
403,178,98
404,178,98
405,178,98
406,179,98
407,179,98
408,180,98
409,180,98
410,180,98
411,180,98
412,180,98
413,180,98
414,181,98
415,181,98
416,181,98
417,182,98
418,182,98
419,183,98
420,183,98
421,184,98
422,185,98
423,185,98
424,186,98
425,187,98
426,188,98
427,188,98
428,188,98
429,188,98
430,189,98
431,189,98
432,189,98
433,190,98
434,190,98
435,190,98
436,191,98
437,192,98
438,193,98
439,193,98
440,193,98
441,193,98
442,193,98
443,193,98
444,193,98
445,194,98
446,194,98
447,194,99
448,195,99
449,195,99
450,195,99
451,196,99
452,197,99
453,197,99
454,197,99
455,197,99
456,198,99
457,198,99
458,199,99
459,199,99
460,200,99
461,200,100
462,201,100
463,201,100
464,201,100
465,202,100
466,202,100
467,203,100
468,203,100
469,203,100
470,204,100
471,205,100
472,205,100
473,205,100
474,206,100
475,206,100
476,207,100
477,207,100
478,208,100
479,209,100
480,209,100
481,209,100
482,210,100
483,210,100
484,211,100
485,211,100
486,211,100
487,211,100
488,211,100
489,212,100
490,213,100
491,214,100
492,215,100
493,216,100
494,217,100
495,218,100
496,219,100
497,220,100
498,220,100
499,220,100
500,220,100
501,220,100
502,220,100
503,221,100
504,221,100
505,222,100
506,223,100
507,224,100
508,224,100
509,225,100
510,225,100
511,226,100
512,227,100
513,227,100
514,228,100
515,229,100
516,229,100
517,229,100
518,230,100
519,231,100
520,231,100
521,231,100
522,231,100
523,231,100
524,232,102
525,232,102
526,233,102
527,234,102
528,234,102
529,235,102
530,235,102
531,236,102
532,237,102
533,237,102
534,238,102
535,238,102
536,239,102
537,240,102
538,241,102
539,242,102
540,243,102
541,243,102
542,243,103
543,243,103
544,243,103
545,244,103
546,245,103
547,246,103
548,246,103
549,246,103
550,246,103
551,246,103
552,247,103
553,248,103
554,249,103
555,249,103
556,249,103
557,250,103
558,250,103
559,250,103
560,251,103
561,251,103
562,252,103
563,252,103
564,252,103
565,252,103
566,252,103
567,253,103
568,254,103
569,255,103
570,255,103
571,257,103
572,258,103
573,258,103
574,258,103
575,258,103
576,259,103
577,259,103
578,260,103
579,260,103
580,260,103
581,261,103
582,261,103
583,261,103
584,261,103
585,262,103
586,262,103
587,263,103
588,263,103
589,264,103
590,264,103
591,264,103
592,265,103
593,265,103
594,265,103
595,265,103
596,266,103
597,266,103
598,267,103
599,267,103
600,268,103
601,268,103
602,269,103
603,269,103
604,270,103
605,270,103
606,271,103
607,271,103
608,271,103
609,271,103
610,272,103
611,273,103
612,273,103
613,273,103
614,273,103
615,274,103
616,274,103
617,274,103
618,274,103
619,274,103
620,274,104
621,275,104
622,275,104
623,276,104
624,276,104
625,276,104
626,276,104
627,277,104
628,278,104
629,278,105
630,278,105
631,278,105
632,279,105
633,279,105
634,280,105
635,281,105
636,282,105
637,282,105
638,282,105
639,282,105
640,282,105
641,283,105
642,284,105
643,284,105
644,284,105
645,285,105
646,286,105
647,286,105
648,286,106
649,287,106
650,288,106
651,288,106
652,289,106
653,289,106
654,289,106
655,289,106
656,289,106
657,289,106
658,289,106
659,289,106
660,290,106
661,290,106
662,291,106
663,291,106
664,292,106
665,293,106
666,293,106
667,293,107
668,294,107
669,296,107
670,296,107
671,296,107
672,297,107
673,297,107
674,297,107
675,297,107
676,298,107
677,298,107
678,298,107
679,298,107
680,298,107
681,298,107
682,298,107
683,298,107
684,299,107
685,300,107
686,300,107
687,300,107
688,300,107
689,300,107
690,301,107
691,301,107
692,301,107
693,301,107
694,302,107
695,302,107
696,302,107
697,302,107
698,302,107
699,302,107
700,302,107
701,303,107
702,304,107
703,304,107
704,305,107
705,305,107
706,306,107
707,306,107
708,307,107
709,308,107
710,308,107
711,309,107
712,310,107
713,310,107
714,310,107
715,311,107
716,312,107
717,312,107
718,312,107
719,313,107
720,313,107
721,313,107
722,313,107
723,314,107
724,314,107
725,314,107
726,314,108
727,314,108
728,315,108
729,315,108
730,315,108
731,315,108
732,316,108
733,316,108
734,317,108
735,318,108
736,319,108
737,319,108
738,320,108
739,321,108
740,322,108
