state,city,pop
Thüringen,Erfurt,210118
Thüringen,Gera,96011
Thüringen,Jena,109527
Thüringen,Altenburg,32910
Thüringen,Eisenach,42417
Thüringen,Gotha,45410
Thüringen,Mühlhausen/Thüringen,34552
Thüringen,Nordhausen,42217
Thüringen,Saalfeld (Mühlhausen),196
Thüringen,Rudolstadt,22855
Thüringen,Bad Blankenburg,6767
Thüringen,Suhl,36778
Thüringen,Zella-Mehlis,10631
Thüringen,Weimar,64131
Thüringen,Apolda,22364
Thüringen,Arnstadt,24481
Thüringen,Artern/Unstrut,5590
Thüringen,Bad Langensalza,17483
Thüringen,Bad Lobenstein,6146
Thüringen,Bad Salzungen,15763
Thüringen,Eisenberg (Thüringen),13669
Thüringen,Greiz,21042
Thüringen,Heilbad Heiligenstadt,16772
Thüringen,Hermsdorf (Thüringen),7689
Thüringen,Bad Klosterlausnitz,3542
Thüringen,Hildburghausen,11792
Thüringen,Ilmenau,26153
Thüringen,Leinefelde-Worbis,18684
Thüringen,Meiningen,21231
Thüringen,Neuhaus am Rennweg,6897
Thüringen,Lauscha,3376
Thüringen,Pößneck,12148
Thüringen,Schleiz,8467
Thüringen,Schmalkalden,19291
Thüringen,Schmölln,11361
Thüringen,Gößnitz (Thüringen),3511
Thüringen,Sömmerda,18996
Thüringen,Sondershausen,22039
Thüringen,Sonneberg,23736
Thüringen,Stadtroda,5892
Thüringen,Zeulenroda-Triebes,16901
Schleswig-Holstein,Flensburg,85942
Schleswig-Holstein,Kiel,246306
Schleswig-Holstein,Lübeck,216253
Schleswig-Holstein,Neumünster,79197
Schleswig-Holstein,Bad Oldesloe,24938
Schleswig-Holstein,Bad Segeberg,17176
Schleswig-Holstein,Wahlstedt,9347
Schleswig-Holstein,Brunsbüttel,12740
Schleswig-Holstein,Eckernförde,21859
Schleswig-Holstein,Elmshorn,51017
Schleswig-Holstein,Eutin,16979
Schleswig-Holstein,Heide (Holstein),21422
Schleswig-Holstein,Husum,22430
Schleswig-Holstein,Itzehoe,31771
Schleswig-Holstein,Kaltenkirchen,20331
Schleswig-Holstein,Mölln,18856
Schleswig-Holstein,Rendsburg,27617
Schleswig-Holstein,Schleswig,24266
Schleswig-Holstein,Ahrensburg,32606
Schleswig-Holstein,Geesthacht,30030
Schleswig-Holstein,Norderstedt,76712
Schleswig-Holstein,Pinneberg,42266
Schleswig-Holstein,Wedel,32890
Sachsen-Anhalt,Dessau-Roßlau,82919
Sachsen-Anhalt,Halle (Saale),236991
Sachsen-Anhalt,Magdeburg,235723
Sachsen-Anhalt,Bitterfeld-Wolfen,40480
Sachsen-Anhalt,Halberstadt,43768
Sachsen-Anhalt,Merseburg,34052
Sachsen-Anhalt,Naumburg (Saale),33012
Sachsen-Anhalt,Schönebeck (Elbe),31366
Sachsen-Anhalt,Stendal,40269
Sachsen-Anhalt,Lutherstadt Wittenberg,46475
Sachsen-Anhalt,Aschersleben,27793
Sachsen-Anhalt,Bernburg (Saale),33920
Sachsen-Anhalt,Burg (bei Magdeburg),22970
Sachsen-Anhalt,Lutherstadt Eisleben,24198
Sachsen-Anhalt,Haldensleben,19439
Sachsen-Anhalt,Köthen (Anhalt),26519
Sachsen-Anhalt,Oschersleben (Bode),19883
Sachsen-Anhalt,Quedlinburg,24555
Sachsen-Anhalt,Salzwedel,24410
Sachsen-Anhalt,Sangerhausen,27752
Sachsen-Anhalt,Staßfurt,26634
Sachsen-Anhalt,Weißenfels,40398
Sachsen-Anhalt,Wernigerode,33108
Sachsen-Anhalt,Zeitz,29052
Sachsen-Anhalt,Zerbst/Anhalt,22055
Sachsen,Chemnitz,248645
Sachsen,Dresden,543825
Sachsen,Leipzig,560472
Sachsen,Plauen,65201
Sachsen,Zwickau,91123
Sachsen,Bautzen,39845
Sachsen,Görlitz,55255
Sachsen,Hoyerswerda,33843
Sachsen,Annaberg-Buchholz,20426
Sachsen,Borna,19672
Sachsen,Coswig (Sachsen),20831
Sachsen,Crimmitschau,19180
Sachsen,Delitzsch,24850
Sachsen,Dippoldiswalde,14529
Sachsen,Döbeln,24034
Sachsen,Eilenburg,15452
Sachsen,Freiberg,41641
Sachsen,Freital,39734
Sachsen,Glauchau,23255
Sachsen,Grimma,28480
Sachsen,Großenhain,18352
Sachsen,Kamenz,15202
Sachsen,Limbach-Oberfrohna,24059
Sachsen,Löbau,15353
Sachsen,Marienberg,17409
Sachsen,Markkleeberg,24240
Sachsen,Meißen,27936
Sachsen,Mittweida,14939
Sachsen,Niesky,9607
Sachsen,Oelsnitz/Vogtl.,10492
Sachsen,Oschatz,14734
Sachsen,Pirna,38010
Sachsen,Radeberg,18389
Sachsen,Radebeul,34055
Sachsen,Reichenbach im Vogtland,21200
Sachsen,Riesa,30885
Sachsen,Schkeuditz,17443
Sachsen,Stollberg/Erzgeb.,11380
Sachsen,Torgau,20047
Sachsen,Weißwasser/Oberlausitz,16851
Sachsen,Werdau,21039
Sachsen,Wurzen,16364
Sachsen,Zittau,25712
Sachsen,Auerbach/Vogtl.,18893
Sachsen,Ellefeld,2578
Sachsen,Falkenstein/Vogtl.,8300
Sachsen,Rodewisch,6434
Sachsen,Hohenstein-Ernstthal,14866
Sachsen,Lichtenstein/Sa.,11632
Sachsen,Oberlungwitz,5928
Sachsen,Aue (Sachsen),16349
Sachsen,Lauter (Lauter-Bernsbach),4707
Sachsen,Lößnitz (Erzgebirge),8677
Sachsen,Bad Schlema,4848
Sachsen,Schneeberg (Erzgebirge),14732
Sachsen,Schwarzenberg/Erzgeb.,17391
Saarland,Saarbrücken,178151
Saarland,Blieskastel,21033
Saarland,Dillingen/Saar,20311
Saarland,Homburg,41974
Saarland,Lebach,19156
Saarland,Merzig,29937
Saarland,Neunkirchen (Saar),46369
Saarland,Saarlouis,34768
Saarland,St. Ingbert,36292
Saarland,St. Wendel,26066
Saarland,Völklingen,39129
Saarland,Wadern,15809
Rheinland-Pfalz,Kaiserslautern,98520
Rheinland-Pfalz,Koblenz,112586
Rheinland-Pfalz,Ludwigshafen am Rhein,164718
Rheinland-Pfalz,Mainz,209779
Rheinland-Pfalz,Trier,114914
Rheinland-Pfalz,Landau in der Pfalz,45362
Rheinland-Pfalz,Speyer,50284
Rheinland-Pfalz,Worms,82102
Rheinland-Pfalz,Zweibrücken,34260
Rheinland-Pfalz,Homburg,41974
Rheinland-Pfalz,Altenkirchen (Westerwald),6221
Rheinland-Pfalz,Alzey,17826
Rheinland-Pfalz,Andernach,29441
Rheinland-Pfalz,Bad Bergzabern,8007
Rheinland-Pfalz,Bad Dürkheim,18499
Rheinland-Pfalz,Bad Ems,9229
Rheinland-Pfalz,Bad Kreuznach,49406
Rheinland-Pfalz,Bingen am Rhein,24987
Rheinland-Pfalz,Boppard,15404
Rheinland-Pfalz,Dahn,4595
Rheinland-Pfalz,Daun,7994
Rheinland-Pfalz,Diez,12073
Rheinland-Pfalz,Frankenthal (Pfalz),48363
Rheinland-Pfalz,Germersheim,20587
Rheinland-Pfalz,Gerolstein,7504
Rheinland-Pfalz,Grünstadt,13213
Rheinland-Pfalz,Hermeskeil,7122
Rheinland-Pfalz,Ingelheim am Rhein,26546
Rheinland-Pfalz,Linz am Rhein,5902
Rheinland-Pfalz,Mayen,18818
Rheinland-Pfalz,Pirmasens,40125
Rheinland-Pfalz,Prüm,5488
Rheinland-Pfalz,Saarburg,7180
Rheinland-Pfalz,Wittlich,18762
Rheinland-Pfalz,Adenau,2947
Rheinland-Pfalz,Bad Neuenahr-Ahrweiler,27468
Rheinland-Pfalz,Remagen,16392
Rheinland-Pfalz,Sinzig,17330
Rheinland-Pfalz,Annweiler am Trifels,7083
Rheinland-Pfalz,Edenkoben,6719
Rheinland-Pfalz,Herxheim bei Landau/Pfalz,10629
Rheinland-Pfalz,Landau in der Pfalz,45362
Rheinland-Pfalz,Bad Sobernheim,6387
Rheinland-Pfalz,Kirn,8149
Rheinland-Pfalz,Meisenheim,2927
Rheinland-Pfalz,Baumholder,4032
Rheinland-Pfalz,Birkenfeld (Nahe),6883
Rheinland-Pfalz,Idar-Oberstein,28350
Rheinland-Pfalz,Bendorf,16813
Rheinland-Pfalz,Höhr-Grenzhausen,9346
Rheinland-Pfalz,Koblenz,112586
Rheinland-Pfalz,Lahnstein,17973
Rheinland-Pfalz,Vallendar,8502
Rheinland-Pfalz,Bernkastel-Kues,6987
Rheinland-Pfalz,Traben-Trarbach,5768
Rheinland-Pfalz,Betzdorf,9967
Rheinland-Pfalz,Kirchen (Sieg),8575
Rheinland-Pfalz,Wissen (Stadt),8314
Rheinland-Pfalz,Bitburg,14002
Rheinland-Pfalz,Neuerburg,1559
Rheinland-Pfalz,Cochem,5332
Rheinland-Pfalz,Zell (Mosel),4085
Rheinland-Pfalz,Dernbach (Pfalz),443
Rheinland-Pfalz,Montabaur,12911
Rheinland-Pfalz,Wirges,5321
Rheinland-Pfalz,Dierdorf,5663
Rheinland-Pfalz,Neuwied,64340
Rheinland-Pfalz,Eisenberg (Pfalz),9311
Rheinland-Pfalz,Kirchheimbolanden,7815
Rheinland-Pfalz,Rockenhausen,5308
Rheinland-Pfalz,Hachenburg,5888
Rheinland-Pfalz,Westerburg,5670
Rheinland-Pfalz,Haßloch,20254
Rheinland-Pfalz,Neustadt an der Weinstraße,52999
Rheinland-Pfalz,Kandel (Pfalz),8943
Rheinland-Pfalz,Wörth am Rhein,17645
Rheinland-Pfalz,Kastellaun,5274
Rheinland-Pfalz,Simmern/Hunsrück,7759
Rheinland-Pfalz,Kirchberg (Hunsrück),3891
Rheinland-Pfalz,Konz,17966
Rheinland-Pfalz,Trier,114914
Rheinland-Pfalz,Kusel,4992
Rheinland-Pfalz,Lauterecken,2133
Rheinland-Pfalz,Landstuhl,8351
Rheinland-Pfalz,Ramstein-Miesenbach,7543
Rheinland-Pfalz,Ludwigshafen am Rhein,164718
Rheinland-Pfalz,Schifferstadt,19701
Rheinland-Pfalz,Mainz,209779
Rheinland-Pfalz,Nieder-Olm,9790
Rheinland-Pfalz,Nierstein,8191
Rheinland-Pfalz,Oppenheim,7341
Rheinland-Pfalz,Nastätten,4198
Rheinland-Pfalz,Sankt Goar,2704
Rheinland-Pfalz,Sankt Goarshausen,1317
Nordrhein-Westfalen,Aachen,245885
Nordrhein-Westfalen,Bielefeld,333090
Nordrhein-Westfalen,Bonn,318809
Nordrhein-Westfalen,Bochum,364742
Nordrhein-Westfalen,Dortmund,586181
Nordrhein-Westfalen,Duisburg,491231
Nordrhein-Westfalen,Düsseldorf,612178
Nordrhein-Westfalen,Essen,582624
Nordrhein-Westfalen,Hagen,189044
Nordrhein-Westfalen,Köln,1060582
Nordrhein-Westfalen,Krefeld,225144
Nordrhein-Westfalen,Mönchengladbach,259996
Nordrhein-Westfalen,Münster (Westfalen),310039
Nordrhein-Westfalen,Paderborn,148126
Nordrhein-Westfalen,Siegen,102355
Nordrhein-Westfalen,Wuppertal,350046
Nordrhein-Westfalen,Bottrop,117143
Nordrhein-Westfalen,Gelsenkirchen,260368
Nordrhein-Westfalen,Hamm,179397
Nordrhein-Westfalen,Herne,155851
Nordrhein-Westfalen,Leverkusen,163487
Nordrhein-Westfalen,Mülheim an der Ruhr,169278
Nordrhein-Westfalen,Oberhausen,210934
Nordrhein-Westfalen,Remscheid,109499
Nordrhein-Westfalen,Solingen,158726
Nordrhein-Westfalen,Ennepetal,29926
Nordrhein-Westfalen,Gevelsberg,31315
Nordrhein-Westfalen,Hattingen,54834
Nordrhein-Westfalen,Herdecke,22818
Nordrhein-Westfalen,Schwelm,28330
Nordrhein-Westfalen,Sprockhövel,25205
Nordrhein-Westfalen,Wetter (Ruhr),27822
Nordrhein-Westfalen,Witten,96700
Nordrhein-Westfalen,Arnsberg,73784
Nordrhein-Westfalen,Brilon,26232
Nordrhein-Westfalen,Marsberg,19968
Nordrhein-Westfalen,Schmallenberg,25230
Nordrhein-Westfalen,Sundern (Sauerland),28166
Nordrhein-Westfalen,Winterberg,12798
Nordrhein-Westfalen,Meschede,30119
Nordrhein-Westfalen,Altena,17375
Nordrhein-Westfalen,Hemer,33535
Nordrhein-Westfalen,Iserlohn,93537
Nordrhein-Westfalen,Lüdenscheid,73354
Nordrhein-Westfalen,Meinerzhagen,20670
Nordrhein-Westfalen,Menden (Sauerland),53485
Nordrhein-Westfalen,Plettenberg,25781
Nordrhein-Westfalen,Werdohl,18002
Nordrhein-Westfalen,Attendorn,24676
Nordrhein-Westfalen,Lennestadt,26073
Nordrhein-Westfalen,Olpe,24757
Nordrhein-Westfalen,Bad Berleburg,19774
Nordrhein-Westfalen,Bad Laasphe,14276
Nordrhein-Westfalen,Kreuztal,31500
Nordrhein-Westfalen,Neunkirchen (Siegerland),13717
Nordrhein-Westfalen,Geseke,21070
Nordrhein-Westfalen,Lippstadt,67233
Nordrhein-Westfalen,Soest,47974
Nordrhein-Westfalen,Warstein,25407
Nordrhein-Westfalen,Werl,30638
Nordrhein-Westfalen,Bergkamen,47803
Nordrhein-Westfalen,Kamen,43868
Nordrhein-Westfalen,Lünen,85867
Nordrhein-Westfalen,Schwerte,46723
Nordrhein-Westfalen,Selm,26603
Nordrhein-Westfalen,Unna,59111
Nordrhein-Westfalen,Werne,29955
Nordrhein-Westfalen,Gütersloh,97586
Nordrhein-Westfalen,Halle (Westf.),21709
Nordrhein-Westfalen,Rheda-Wiedenbrück,48763
Nordrhein-Westfalen,Rietberg,29436
Nordrhein-Westfalen,Bünde,45615
Nordrhein-Westfalen,Herford,66521
Nordrhein-Westfalen,Löhne,40086
Nordrhein-Westfalen,Vlotho,18914
Nordrhein-Westfalen,Bad Driburg,18699
Nordrhein-Westfalen,Beverungen,13442
Nordrhein-Westfalen,Brakel,16586
Nordrhein-Westfalen,Höxter,29589
Nordrhein-Westfalen,Steinheim (Westfalen),12922
Nordrhein-Westfalen,Warburg,23629
Nordrhein-Westfalen,Bad Salzuflen,53341
Nordrhein-Westfalen,Barntrup,8846
Nordrhein-Westfalen,Blomberg,15370
Nordrhein-Westfalen,Detmold,74817
Nordrhein-Westfalen,Horn-Bad Meinberg,17126
Nordrhein-Westfalen,Lage (Lippe),35120
Nordrhein-Westfalen,Lemgo,41276
Nordrhein-Westfalen,Bad Oeynhausen,48990
Nordrhein-Westfalen,Espelkamp,24921
Nordrhein-Westfalen,Lübbecke,25462
Nordrhein-Westfalen,Minden,81598
Nordrhein-Westfalen,Petershagen,25663
Nordrhein-Westfalen,Porta Westfalica (Stadt),35430
Nordrhein-Westfalen,Büren (Westfalen),21772
Nordrhein-Westfalen,Delbrück,31964
Nordrhein-Westfalen,Emmerich am Rhein,30968
Nordrhein-Westfalen,Geldern,33841
Nordrhein-Westfalen,Goch,33889
Nordrhein-Westfalen,Kevelaer,28311
Nordrhein-Westfalen,Kleve,49729
Nordrhein-Westfalen,Erkrath,44086
Nordrhein-Westfalen,Haan,30410
Nordrhein-Westfalen,Heiligenhaus,25793
Nordrhein-Westfalen,Hilden,55185
Nordrhein-Westfalen,Langenfeld (Rheinland),58033
Nordrhein-Westfalen,Mettmann,38291
Nordrhein-Westfalen,Monheim am Rhein,40885
Nordrhein-Westfalen,Ratingen,87943
Nordrhein-Westfalen,Velbert,81430
Nordrhein-Westfalen,Wülfrath,21223
Nordrhein-Westfalen,Dormagen,64064
Nordrhein-Westfalen,Grevenbroich,63051
Nordrhein-Westfalen,Kaarst,43286
Nordrhein-Westfalen,Korschenbroich,32922
Nordrhein-Westfalen,Meerbusch,54892
Nordrhein-Westfalen,Neuss,155414
Nordrhein-Westfalen,Kempen,34837
Nordrhein-Westfalen,Nettetal,41964
Nordrhein-Westfalen,Schwalmtal (Niederrhein),19139
Nordrhein-Westfalen,Tönisvorst,29296
Nordrhein-Westfalen,Viersen,75931
Nordrhein-Westfalen,Willich,50748
Nordrhein-Westfalen,Dinslaken,67452
Nordrhein-Westfalen,Hamminkeln,26996
Nordrhein-Westfalen,Kamp-Lintfort,37683
Nordrhein-Westfalen,Moers,104529
Nordrhein-Westfalen,Neukirchen-Vluyn,27178
Nordrhein-Westfalen,Rheinberg,31023
Nordrhein-Westfalen,Voerde (Niederrhein),36675
Nordrhein-Westfalen,Wesel,60595
Nordrhein-Westfalen,Xanten,21510
Nordrhein-Westfalen,Alsdorf,46880
Nordrhein-Westfalen,Baesweiler,26819
Nordrhein-Westfalen,Eschweiler,55909
Nordrhein-Westfalen,Herzogenrath,46583
Nordrhein-Westfalen,Monschau,12352
Nordrhein-Westfalen,Stolberg (Rheinland),56739
Nordrhein-Westfalen,Würselen,38962
Nordrhein-Westfalen,Düren,90244
Nordrhein-Westfalen,Jülich,32601
Nordrhein-Westfalen,Euskirchen,56769
Nordrhein-Westfalen,Mechernich,27170
Nordrhein-Westfalen,Schleiden,13272
Nordrhein-Westfalen,Erkelenz,43350
Nordrhein-Westfalen,Geilenkirchen,26963
Nordrhein-Westfalen,Heinsberg,41538
Nordrhein-Westfalen,Hückelhoven,39531
Nordrhein-Westfalen,Übach-Palenberg,24377
Nordrhein-Westfalen,Wegberg,27827
Nordrhein-Westfalen,Engelskirchen,19307
Nordrhein-Westfalen,Gummersbach,50412
Nordrhein-Westfalen,Radevormwald,22386
Nordrhein-Westfalen,Waldbröl,19194
Nordrhein-Westfalen,Wipperfürth,21481
Nordrhein-Westfalen,Bedburg,23334
Nordrhein-Westfalen,Bergheim,60390
Nordrhein-Westfalen,Brühl (Rheinland),44768
Nordrhein-Westfalen,Erftstadt,49786
Nordrhein-Westfalen,Frechen,51999
Nordrhein-Westfalen,Hürth,59496
Nordrhein-Westfalen,Kerpen,65477
Nordrhein-Westfalen,Pulheim,54200
Nordrhein-Westfalen,Wesseling,35975
Nordrhein-Westfalen,Bergisch Gladbach,111366
Nordrhein-Westfalen,Leichlingen (Rheinland),27937
Nordrhein-Westfalen,Wermelskirchen,34504
Nordrhein-Westfalen,Bad Honnef,25654
Nordrhein-Westfalen,Bornheim (Rheinland),47636
Nordrhein-Westfalen,Eitorf,18864
Nordrhein-Westfalen,Hennef (Sieg),46902
Nordrhein-Westfalen,Königswinter,40702
Nordrhein-Westfalen,Lohmar,30348
Nordrhein-Westfalen,Niederkassel,37583
Nordrhein-Westfalen,Rheinbach,27224
Nordrhein-Westfalen,Sankt Augustin,55709
Nordrhein-Westfalen,Siegburg,41016
Nordrhein-Westfalen,Troisdorf,74400
Nordrhein-Westfalen,Ahaus,39277
Nordrhein-Westfalen,Bocholt,71443
Nordrhein-Westfalen,Borken,42272
Nordrhein-Westfalen,Gronau (Westf.),47010
Nordrhein-Westfalen,Stadtlohn,20411
Nordrhein-Westfalen,Vreden,22688
Nordrhein-Westfalen,Coesfeld,36116
Nordrhein-Westfalen,Dülmen,46613
Nordrhein-Westfalen,Lüdinghausen,24263
Nordrhein-Westfalen,Castrop-Rauxel,74220
Nordrhein-Westfalen,Datteln,34521
Nordrhein-Westfalen,Dorsten,75431
Nordrhein-Westfalen,Gladbeck,75455
Nordrhein-Westfalen,Haltern am See,38020
Nordrhein-Westfalen,Herten,61163
Nordrhein-Westfalen,Marl,83926
Nordrhein-Westfalen,Oer-Erkenschwick,31387
Nordrhein-Westfalen,Recklinghausen,114330
Nordrhein-Westfalen,Waltrop,29354
Nordrhein-Westfalen,Emsdetten,36320
Nordrhein-Westfalen,Greven,36674
Nordrhein-Westfalen,Ibbenbüren,50935
Nordrhein-Westfalen,Lengerich (Westfalen),22461
Nordrhein-Westfalen,Ochtrup,19599
Nordrhein-Westfalen,Rheine,74852
Nordrhein-Westfalen,Steinfurt,33682
Nordrhein-Westfalen,Ahlen,52287
Nordrhein-Westfalen,Beckum,36560
Nordrhein-Westfalen,Oelde,29299
Nordrhein-Westfalen,Warendorf,37249
Niedersachsen,Braunschweig,251364
Niedersachsen,Celle,69748
Niedersachsen,Göttingen,118914
Niedersachsen,Hannover,532163
Niedersachsen,Hildesheim,101667
Niedersachsen,Lüneburg,74072
Niedersachsen,Oldenburg (Oldb),163830
Niedersachsen,Osnabrück,162403
Niedersachsen,Salzgitter,101079
Niedersachsen,Wilhelmshaven,75995
Niedersachsen,Wolfsburg,124045
Niedersachsen,Emden,50694
Niedersachsen,Lingen (Ems),53284
Niedersachsen,Nordhorn,53285
Niedersachsen,Delmenhorst,76323
Niedersachsen,Hameln,56529
Niedersachsen,Langenhagen,53323
Niedersachsen,Bad Zwischenahn,28204
Niedersachsen,Rastede,22027
Niedersachsen,Westerstede,22154
Niedersachsen,Aurich,41489
Niedersachsen,Norden (Ostfriesland),25117
Niedersachsen,Cloppenburg,33798
Niedersachsen,Friesoythe,21918
Niedersachsen,Cuxhaven,48264
Niedersachsen,Hemmoor,8861
Niedersachsen,Diepholz,16692
Niedersachsen,Stuhr,33083
Niedersachsen,Sulingen,12681
Niedersachsen,Syke,24018
Niedersachsen,Meppen,34918
Niedersachsen,Papenburg,36690
Niedersachsen,Jever,14020
Niedersachsen,Varel,23884
Niedersachsen,Gifhorn,41905
Niedersachsen,Wittingen,11480
Niedersachsen,Bad Harzburg,21735
Niedersachsen,Clausthal-Zellerfeld,15818
Niedersachsen,Goslar,50782
Niedersachsen,Seesen,19296
Niedersachsen,Duderstadt,21072
Niedersachsen,Hann. Münden,24072
Niedersachsen,Bad Pyrmont,19239
Niedersachsen,Barsinghausen,33608
Niedersachsen,Burgdorf (Region Hannover),30147
Niedersachsen,Garbsen,60590
Niedersachsen,Großburgwedel,10400
Niedersachsen,Laatzen,40939
Niedersachsen,Lehrte,43639
Niedersachsen,Neustadt am Rübenberge,43931
Niedersachsen,Springe,28682
Niedersachsen,Wunstorf,41251
Niedersachsen,Buchholz in der Nordheide,38487
Niedersachsen,Seevetal,40949
Niedersachsen,Winsen (Luhe),33896
Niedersachsen,Munster (Örtze),15091
Niedersachsen,Soltau,21414
Niedersachsen,Walsrode,23219
Niedersachsen,Helmstedt,23254
Niedersachsen,Alfeld (Leine),19081
Niedersachsen,Sarstedt,19303
Niedersachsen,Holzminden,20099
Niedersachsen,Leer (Ostfriesland),34042
Niedersachsen,Lüchow (Wendland),9481
Niedersachsen,Nienburg/Weser,31193
Niedersachsen,Bad Gandersheim,10141
Niedersachsen,Einbeck,31338
Niedersachsen,Northeim,28920
Niedersachsen,Uslar,14394
Niedersachsen,Wildeshausen,19390
Niedersachsen,Bramsche,36013
Niedersachsen,Georgsmarienhütte,31520
Niedersachsen,Melle,46039
Niedersachsen,Quakenbrück,12845
Niedersachsen,Osterholz-Scharmbeck,30302
Niedersachsen,Osterode am Harz,22201
Niedersachsen,Peine,49366
Niedersachsen,Bremervörde,18645
Niedersachsen,Rotenburg (Wümme),21392
Niedersachsen,Zeven,13760
Niedersachsen,Bad Nenndorf,10649
Niedersachsen,Bückeburg,19182
Niedersachsen,Rinteln,25187
Niedersachsen,Stadthagen,21814
Niedersachsen,Buxtehude,40173
Niedersachsen,Stade,46378
Niedersachsen,Uelzen,33782
Niedersachsen,Lohne (Oldenburg),26060
Niedersachsen,Vechta,31558
Niedersachsen,Achim (Landkreis Verden),31156
Niedersachsen,Verden (Aller),26997
Niedersachsen,Brake (Unterweser),15129
Niedersachsen,Nordenham,26325
Niedersachsen,Wittmund,20735
Niedersachsen,Wolfenbüttel,52269
Mecklenburg-Vorpommern,Neubrandenburg,63602
Mecklenburg-Vorpommern,Rostock,206011
Mecklenburg-Vorpommern,Schwerin,96800
Mecklenburg-Vorpommern,Stralsund,58041
Mecklenburg-Vorpommern,Greifswald,57286
Mecklenburg-Vorpommern,Anklam,12712
Mecklenburg-Vorpommern,Bad Doberan,12107
Mecklenburg-Vorpommern,Bergen auf Rügen,13484
Mecklenburg-Vorpommern,Demmin,11269
Mecklenburg-Vorpommern,Grevesmühlen,10496
Mecklenburg-Vorpommern,Grimmen,10019
Mecklenburg-Vorpommern,Güstrow,28845
Mecklenburg-Vorpommern,Hagenow,11697
Mecklenburg-Vorpommern,Ludwigslust,12255
Mecklenburg-Vorpommern,Neustrelitz,20504
Mecklenburg-Vorpommern,Parchim,17918
Mecklenburg-Vorpommern,Pasewalk,10535
Mecklenburg-Vorpommern,Ribnitz-Damgarten,15155
Mecklenburg-Vorpommern,Teterow,8604
Mecklenburg-Vorpommern,Ueckermünde,8844
Mecklenburg-Vorpommern,Waren (Müritz),21153
Mecklenburg-Vorpommern,Wismar,42557
Mecklenburg-Vorpommern,Wolgast,12312
Hessen,Darmstadt,155353
Hessen,Frankfurt am Main,732688
Hessen,Fulda,67253
Hessen,Gießen,84455
Hessen,Hanau,92643
Hessen,Kassel,197984
Hessen,Marburg,73836
Hessen,Offenbach am Main,123734
Hessen,Wetzlar,51649
Hessen,Wiesbaden,276218
Hessen,Bad Hersfeld,29116
Hessen,Friedberg (Hessen),28156
Hessen,Bad Nauheim,31630
Hessen,Limburg an der Lahn,34255
Hessen,Rüsselsheim am Main,63030
Hessen,Allendorf (Eder),5665
Hessen,Battenberg (Eder),5414
Hessen,Alsfeld,16142
Hessen,Bad Arolsen,15507
Hessen,Bad Homburg vor der Höhe,53244
Hessen,Bad Orb,9631
Hessen,Bad Schwalbach,10697
Hessen,Bad Soden am Taunus,22161
Hessen,Bad Soden-Salmünster,13361
